team_name,season,basic_zone,zone_name,frequency,shots_made,average_x,average_y,accuracy_percentage
Atlanta Hawks,2003-04,Above the Break 3,Back Court,2,0,-5.5,377.38,0.0
Atlanta Hawks,2003-04,Above the Break 3,Center,162,53,4.728395061728395,238.37024691358027,32.71604938271605
Atlanta Hawks,2003-04,Above the Break 3,Left Side Center,333,97,165.37537537537537,179.334984984985,29.129129129129126
Atlanta Hawks,2003-04,Above the Break 3,Right Side Center,375,132,-161.888,176.93815999999998,35.199999999999996
Atlanta Hawks,2003-04,Backcourt,Back Court,2,0,-67.0,477.96000000000004,0.0
Atlanta Hawks,2003-04,In The Paint (Non-RA),Center,792,281,2.0707070707070705,48.0239393939394,35.47979797979798
Atlanta Hawks,2003-04,In The Paint (Non-RA),Left Side,69,34,69.59420289855072,65.8108695652174,49.275362318840585
Atlanta Hawks,2003-04,In The Paint (Non-RA),Right Side,73,31,-70.23287671232876,70.14808219178083,42.465753424657535
Atlanta Hawks,2003-04,Left Corner 3,Left Side,210,81,235.0047619047619,9.267047619047622,38.57142857142858
Atlanta Hawks,2003-04,Mid-Range,Center,227,72,1.550660792951542,170.1969603524229,31.718061674008812
Atlanta Hawks,2003-04,Mid-Range,Left Side,762,300,145.9317585301837,32.270472440944886,39.37007874015748
Atlanta Hawks,2003-04,Mid-Range,Left Side Center,234,102,112.4017094017094,142.5205982905983,43.58974358974359
Atlanta Hawks,2003-04,Mid-Range,Right Side,754,280,-140.88859416445624,35.49177718832892,37.13527851458886
Atlanta Hawks,2003-04,Mid-Range,Right Side Center,297,131,-117.65993265993266,139.74515151515152,44.107744107744104
Atlanta Hawks,2003-04,Restricted Area,Center,2072,1179,-0.3204633204633205,3.378861003861005,56.9015444015444
Atlanta Hawks,2003-04,Right Corner 3,Right Side,165,56,-230.3272727272727,10.315696969696972,33.939393939393945
Atlanta Hawks,2004-05,Above the Break 3,Back Court,8,1,91.875,384.9,12.5
Atlanta Hawks,2004-05,Above the Break 3,Center,159,49,3.10062893081761,239.8414465408805,30.81761006289308
Atlanta Hawks,2004-05,Above the Break 3,Left Side Center,291,85,157.58419243986253,185.74113402061857,29.20962199312715
Atlanta Hawks,2004-05,Above the Break 3,Right Side Center,235,91,-158.61702127659575,186.114,38.72340425531915
Atlanta Hawks,2004-05,Backcourt,Back Court,15,0,37.8,475.86066666666665,0.0
Atlanta Hawks,2004-05,In The Paint (Non-RA),Center,824,296,4.550970873786408,48.49293689320388,35.92233009708738
Atlanta Hawks,2004-05,In The Paint (Non-RA),Left Side,40,11,70.85,72.7495,27.500000000000004
Atlanta Hawks,2004-05,In The Paint (Non-RA),Right Side,45,16,-69.06666666666666,70.03133333333334,35.55555555555556
Atlanta Hawks,2004-05,Left Corner 3,Left Side,131,37,232.7709923664122,8.27931297709924,28.24427480916031
Atlanta Hawks,2004-05,Mid-Range,Center,264,103,2.8257575757575757,170.49810606060606,39.015151515151516
Atlanta Hawks,2004-05,Mid-Range,Left Side,716,252,143.6368715083799,33.072178770949726,35.19553072625698
Atlanta Hawks,2004-05,Mid-Range,Left Side Center,264,115,112.71969696969697,141.675,43.56060606060606
Atlanta Hawks,2004-05,Mid-Range,Right Side,657,245,-143.98021308980213,33.86866057838661,37.29071537290715
Atlanta Hawks,2004-05,Mid-Range,Right Side Center,326,136,-110.58282208588957,139.62055214723927,41.717791411042946
Atlanta Hawks,2004-05,Restricted Area,Center,2563,1464,0.013655872024970737,3.2389114319157253,57.120561841591886
Atlanta Hawks,2004-05,Right Corner 3,Right Side,134,41,-233.86567164179104,7.665373134328361,30.597014925373134
Atlanta Hawks,2005-06,Above the Break 3,Back Court,5,0,49.8,384.054,0.0
Atlanta Hawks,2005-06,Above the Break 3,Center,215,84,2.832558139534884,239.9279534883721,39.06976744186046
Atlanta Hawks,2005-06,Above the Break 3,Left Side Center,306,105,169.8921568627451,177.31359477124184,34.31372549019608
Atlanta Hawks,2005-06,Above the Break 3,Right Side Center,281,104,-166.19572953736656,179.02829181494664,37.01067615658363
Atlanta Hawks,2005-06,Backcourt,Back Court,11,0,-5.2727272727272725,571.7463636363636,0.0
Atlanta Hawks,2005-06,In The Paint (Non-RA),Center,766,286,4.922976501305483,51.22945169712794,37.33681462140992
Atlanta Hawks,2005-06,In The Paint (Non-RA),Left Side,35,20,70.05714285714286,77.13057142857143,57.14285714285714
Atlanta Hawks,2005-06,In The Paint (Non-RA),Right Side,40,14,-66.35,79.00050000000002,35.0
Atlanta Hawks,2005-06,Left Corner 3,Left Side,186,74,232.5752688172043,6.72688172043011,39.784946236559136
Atlanta Hawks,2005-06,Mid-Range,Center,278,102,0.6474820143884892,169.58589928057555,36.69064748201439
Atlanta Hawks,2005-06,Mid-Range,Left Side,728,289,151.09752747252747,31.438049450549453,39.6978021978022
Atlanta Hawks,2005-06,Mid-Range,Left Side Center,297,116,115.06397306397307,140.30851851851853,39.05723905723906
Atlanta Hawks,2005-06,Mid-Range,Right Side,530,218,-150.17169811320755,37.05920754716981,41.132075471698116
Atlanta Hawks,2005-06,Mid-Range,Right Side Center,340,130,-112.06764705882352,142.30535294117647,38.23529411764706
Atlanta Hawks,2005-06,Restricted Area,Center,2327,1346,-0.0782122905027933,3.700107434464978,57.842715943274605
Atlanta Hawks,2005-06,Right Corner 3,Right Side,151,58,-232.82781456953643,10.422052980132452,38.41059602649007
Atlanta Hawks,2006-07,Above the Break 3,Back Court,3,0,58.333333333333336,385.0566666666667,0.0
Atlanta Hawks,2006-07,Above the Break 3,Center,135,41,1.5777777777777777,247.67740740740743,30.37037037037037
Atlanta Hawks,2006-07,Above the Break 3,Left Side Center,296,91,170.03040540540542,184.50533783783786,30.743243243243246
Atlanta Hawks,2006-07,Above the Break 3,Right Side Center,315,105,-162.93333333333334,188.11025396825397,33.33333333333333
Atlanta Hawks,2006-07,Backcourt,Back Court,8,0,-16.5,503.81,0.0
