SEASON_2,TEAM_NAME,Shot Type,Total Shots
2003-04,Atlanta Hawks,total_2pt_attempted,5280
2004-05,Atlanta Hawks,total_2pt_attempted,5699
2005-06,Atlanta Hawks,total_2pt_attempted,5342
2006-07,Atlanta Hawks,total_2pt_attempted,5334
2007-08,Atlanta Hawks,total_2pt_attempted,5474
2008-09,Atlanta Hawks,total_2pt_attempted,4818
2009-10,Atlanta Hawks,total_2pt_attempted,5346
2010-11,Atlanta Hawks,total_2pt_attempted,5002
2011-12,Atlanta Hawks,total_2pt_attempted,4018
2012-13,Atlanta Hawks,total_2pt_attempted,4743
2013-14,Atlanta Hawks,total_2pt_attempted,4572
2014-15,Atlanta Hawks,total_2pt_attempted,4547
2015-16,Atlanta Hawks,total_2pt_attempted,4597
2016-17,Atlanta Hawks,total_2pt_attempted,4781
2017-18,Atlanta Hawks,total_2pt_attempted,4471
2018-19,Atlanta Hawks,total_2pt_attempted,4490
2019-20,Atlanta Hawks,total_2pt_attempted,3651
2020-21,Atlanta Hawks,total_2pt_attempted,3879
2021-22,Atlanta Hawks,total_2pt_attempted,4420
2022-23,Atlanta Hawks,total_2pt_attempted,5069
2003-04,Boston Celtics,total_2pt_attempted,4816
2004-05,Boston Celtics,total_2pt_attempted,5259
2005-06,Boston Celtics,total_2pt_attempted,5032
2006-07,Boston Celtics,total_2pt_attempted,5171
2007-08,Boston Celtics,total_2pt_attempted,4722
2008-09,Boston Celtics,total_2pt_attempted,4978
2009-10,Boston Celtics,total_2pt_attempted,4861
2010-11,Boston Celtics,total_2pt_attempted,5100
2011-12,Boston Celtics,total_2pt_attempted,4098
2012-13,Boston Celtics,total_2pt_attempted,5069
2013-14,Boston Celtics,total_2pt_attempted,5154
2014-15,Boston Celtics,total_2pt_attempted,5190
2015-16,Boston Celtics,total_2pt_attempted,5176
2016-17,Boston Celtics,total_2pt_attempted,4236
2017-18,Boston Celtics,total_2pt_attempted,4483
2018-19,Boston Celtics,total_2pt_attempted,4594
2019-20,Boston Celtics,total_2pt_attempted,3961
2020-21,Boston Celtics,total_2pt_attempted,3783
2021-22,Boston Celtics,total_2pt_attempted,4123
2022-23,Boston Celtics,total_2pt_attempted,3786
2012-13,Brooklyn Nets,total_2pt_attempted,4784
2013-14,Brooklyn Nets,total_2pt_attempted,4469
2014-15,Brooklyn Nets,total_2pt_attempted,5171
2015-16,Brooklyn Nets,total_2pt_attempted,5412
2016-17,Brooklyn Nets,total_2pt_attempted,4395
2017-18,Brooklyn Nets,total_2pt_attempted,4190
2018-19,Brooklyn Nets,total_2pt_attempted,4393
2019-20,Brooklyn Nets,total_2pt_attempted,3752
2020-21,Brooklyn Nets,total_2pt_attempted,3689
2021-22,Brooklyn Nets,total_2pt_attempted,4649
2022-23,Brooklyn Nets,total_2pt_attempted,4207
2004-05,Charlotte Bobcats,total_2pt_attempted,5978
2005-06,Charlotte Bobcats,total_2pt_attempted,5582
2006-07,Charlotte Bobcats,total_2pt_attempted,5363
2007-08,Charlotte Bobcats,total_2pt_attempted,5111
2008-09,Charlotte Bobcats,total_2pt_attempted,4960
2009-10,Charlotte Bobcats,total_2pt_attempted,4975
2010-11,Charlotte Bobcats,total_2pt_attempted,5162
2011-12,Charlotte Bobcats,total_2pt_attempted,4401
2012-13,Charlotte Bobcats,total_2pt_attempted,5250
2013-14,Charlotte Bobcats,total_2pt_attempted,5259
2014-15,Charlotte Hornets,total_2pt_attempted,5366
2015-16,Charlotte Hornets,total_2pt_attempted,4512
2016-17,Charlotte Hornets,total_2pt_attempted,4653
2017-18,Charlotte Hornets,total_2pt_attempted,4873
2018-19,Charlotte Hornets,total_2pt_attempted,4579
2019-20,Charlotte Hornets,total_2pt_attempted,3355
2020-21,Charlotte Hornets,total_2pt_attempted,3658
2021-22,Charlotte Hornets,total_2pt_attempted,4367
2022-23,Charlotte Hornets,total_2pt_attempted,4744
2003-04,Chicago Bulls,total_2pt_attempted,5497
2004-05,Chicago Bulls,total_2pt_attempted,5159
2005-06,Chicago Bulls,total_2pt_attempted,5260
2006-07,Chicago Bulls,total_2pt_attempted,5426
2007-08,Chicago Bulls,total_2pt_attempted,5556
2008-09,Chicago Bulls,total_2pt_attempted,5553
2009-10,Chicago Bulls,total_2pt_attempted,5759
2010-11,Chicago Bulls,total_2pt_attempted,5172
2011-12,Chicago Bulls,total_2pt_attempted,4345
2012-13,Chicago Bulls,total_2pt_attempted,5433
2013-14,Chicago Bulls,total_2pt_attempted,5118
2014-15,Chicago Bulls,total_2pt_attempted,4972
2015-16,Chicago Bulls,total_2pt_attempted,5417
2016-17,Chicago Bulls,total_2pt_attempted,5310
2017-18,Chicago Bulls,total_2pt_attempted,4736
2018-19,Chicago Bulls,total_2pt_attempted,5082
2019-20,Chicago Bulls,total_2pt_attempted,3480
2020-21,Chicago Bulls,total_2pt_attempted,3934
2021-22,Chicago Bulls,total_2pt_attempted,4763
2022-23,Chicago Bulls,total_2pt_attempted,4749
2003-04,Cleveland Cavaliers,total_2pt_attempted,5967
2004-05,Cleveland Cavaliers,total_2pt_attempted,5783
2005-06,Cleveland Cavaliers,total_2pt_attempted,4947
2006-07,Cleveland Cavaliers,total_2pt_attempted,5254
2007-08,Cleveland Cavaliers,total_2pt_attempted,5153
2008-09,Cleveland Cavaliers,total_2pt_attempted,4784
2009-10,Cleveland Cavaliers,total_2pt_attempted,4809
2010-11,Cleveland Cavaliers,total_2pt_attempted,5158
2011-12,Cleveland Cavaliers,total_2pt_attempted,4087
2012-13,Cleveland Cavaliers,total_2pt_attempted,5320
2013-14,Cleveland Cavaliers,total_2pt_attempted,5315
2014-15,Cleveland Cavaliers,total_2pt_attempted,4486
2015-16,Cleveland Cavaliers,total_2pt_attempted,4460
2016-17,Cleveland Cavaliers,total_2pt_attempted,4184
2017-18,Cleveland Cavaliers,total_2pt_attempted,4314
2018-19,Cleveland Cavaliers,total_2pt_attempted,4796
2019-20,Cleveland Cavaliers,total_2pt_attempted,3645
2020-21,Cleveland Cavaliers,total_2pt_attempted,4034
2021-22,Cleveland Cavaliers,total_2pt_attempted,4254
2022-23,Cleveland Cavaliers,total_2pt_attempted,4395
2003-04,Dallas Mavericks,total_2pt_attempted,5774
2004-05,Dallas Mavericks,total_2pt_attempted,5418
2005-06,Dallas Mavericks,total_2pt_attempted,5262
2006-07,Dallas Mavericks,total_2pt_attempted,5038
2007-08,Dallas Mavericks,total_2pt_attempted,5112
2008-09,Dallas Mavericks,total_2pt_attempted,5138
2009-10,Dallas Mavericks,total_2pt_attempted,5262
2010-11,Dallas Mavericks,total_2pt_attempted,4695
2011-12,Dallas Mavericks,total_2pt_attempted,3948
2012-13,Dallas Mavericks,total_2pt_attempted,5264
2013-14,Dallas Mavericks,total_2pt_attempted,4981
2014-15,Dallas Mavericks,total_2pt_attempted,4954
2015-16,Dallas Mavericks,total_2pt_attempted,4558
2016-17,Dallas Mavericks,total_2pt_attempted,4277
2017-18,Dallas Mavericks,total_2pt_attempted,4354
2018-19,Dallas Mavericks,total_2pt_attempted,4120
2019-20,Dallas Mavericks,total_2pt_attempted,3677
2020-21,Dallas Mavericks,total_2pt_attempted,3543
2021-22,Dallas Mavericks,total_2pt_attempted,3919
2022-23,Dallas Mavericks,total_2pt_attempted,3547
2003-04,Denver Nuggets,total_2pt_attempted,5778
2004-05,Denver Nuggets,total_2pt_attempted,5675
2005-06,Denver Nuggets,total_2pt_attempted,5596
2006-07,Denver Nuggets,total_2pt_attempted,5365
2007-08,Denver Nuggets,total_2pt_attempted,5433
2008-09,Denver Nuggets,total_2pt_attempted,5033
2009-10,Denver Nuggets,total_2pt_attempted,5161
2010-11,Denver Nuggets,total_2pt_attempted,4909
2011-12,Denver Nuggets,total_2pt_attempted,4093
2012-13,Denver Nuggets,total_2pt_attempted,5465
2013-14,Denver Nuggets,total_2pt_attempted,5083
2014-15,Denver Nuggets,total_2pt_attempted,5126
2015-16,Denver Nuggets,total_2pt_attempted,5060
2016-17,Denver Nuggets,total_2pt_attempted,4829
2017-18,Denver Nuggets,total_2pt_attempted,4566
2018-19,Denver Nuggets,total_2pt_attempted,4813
2019-20,Denver Nuggets,total_2pt_attempted,4254
2020-21,Denver Nuggets,total_2pt_attempted,3960
2021-22,Denver Nuggets,total_2pt_attempted,4135
2022-23,Denver Nuggets,total_2pt_attempted,4529
2003-04,Detroit Pistons,total_2pt_attempted,5346
2004-05,Detroit Pistons,total_2pt_attempted,5368
2005-06,Detroit Pistons,total_2pt_attempted,5107
2006-07,Detroit Pistons,total_2pt_attempted,5179
2007-08,Detroit Pistons,total_2pt_attempted,5221
